"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.702646338779191,0.98,0.862,0,"0","NPM1"
0,0.285753690907557,0.708,0.59,0,"0","EIF3F"
0,0.282410424661347,0.793,0.68,0,"0","MZT2B"
0,0.33066952813561,0.916,0.803,0,"0","HINT1"
0,0.434138336057039,0.365,0.253,0,"0","ERAP2"
0,0.344722351937507,0.462,0.354,0,"0","SNHG7"
0,0.776850185876098,0.257,0.149,0,"0","BEX2"
0,0.6102623818138,0.289,0.183,0,"0","HSPB1"
0,0.417912056211057,0.936,0.831,0,"0","COMMD6"
0,0.304884606206539,0.397,0.292,0,"0","FCMR"
0,0.523593834549214,0.36,0.255,0,"0","APEX1"
0,0.337138549215786,0.376,0.271,0,"0","TNRC6C"
0,0.448268092125728,0.309,0.206,0,"0","SCML4"
0,0.668384752820788,0.27,0.167,0,"0","RFLNB"
0,0.460218747818296,0.369,0.266,0,"0","PDE7A"
0,0.525556979963594,0.304,0.203,0,"0","HELB"
0,0.341352681409784,0.427,0.327,0,"0","GABPB1-AS1"
0,0.535848597384923,0.321,0.222,0,"0","MTERF4"
0,0.61253156280728,0.289,0.191,0,"0","GIMAP2"
0,0.285122227517783,0.319,0.222,0,"0","RGCC"
0,0.298368102098086,0.461,0.366,0,"0","C1QBP"
0,0.344053593432724,0.309,0.215,0,"0","AL121944.1"
0,0.343166823872044,0.368,0.275,0,"0","PABPC4"
0,0.358229317804219,0.317,0.225,0,"0","AC243960.1"
0,0.28407226813469,0.88,0.788,0,"0","EEF2"
0,0.477921331233378,0.265,0.174,0,"0","INPP4B"
0,0.2721131807908,0.446,0.355,0,"0","TMEM243"
0,0.590149022301727,0.257,0.167,0,"0","MLXIP"
0,0.423602560268162,0.314,0.225,0,"0","SFXN1"
0,0.364823282181235,0.298,0.211,0,"0","AC025164.1"
0,0.293046607360687,0.417,0.33,0,"0","TMEM14B"
0,0.304480582896787,0.393,0.307,0,"0","MSL3"
0,0.5014414606675,0.259,0.174,0,"0","ANXA2R"
0,0.352924473771387,0.349,0.267,0,"0","HAX1"
0,0.536985733090385,0.28,0.199,0,"0","AP3M2"
0,0.356565196851667,0.279,0.199,0,"0","SFI1"
0,1.20866491529131,0.996,0.916,0,"0","EEF1B2"
0,0.413120761983345,0.973,0.893,0,"0","COX7C"
0,0.875387663667839,0.987,0.907,0,"0","RPL4"
0,0.694633094071961,0.99,0.912,0,"0","RPL36A"
0,0.261382818018789,0.32,0.244,0,"0","SOCS3"
0,0.698373697680088,0.987,0.912,0,"0","TOMM7"
0,0.362051901586552,0.96,0.886,0,"0","COX4I1"
0,0.525839225448641,0.981,0.908,0,"0","PABPC1"
0,0.413015440715032,0.972,0.9,0,"0","BTF3"
0,0.50176651456127,0.982,0.912,0,"0","UQCRB"
0,0.414753173139039,0.257,0.188,0,"0","CBX5"
0,0.712518575630428,0.994,0.925,0,"0","RPLP0"
0,0.46614595781993,0.258,0.191,0,"0","CD8B"
0,0.301882505544017,0.968,0.914,0,"0","HNRNPA1"
0,1.00960023922531,0.999,0.947,0,"0","RPS5"
0,0.600353540962531,0.994,0.946,0,"0","RACK1"
